date,open,high,low,close
11/05/2021,13.82,14.35,13.75,14.31
12/05/2021,14.01,14.26,13.71,13.76
13/05/2021,14.03,14.08,13.46,13.67
14/05/2021,13.89,14.33,13.75,14.24
17/05/2021,14.16,14.17,13.85,14.17
18/05/2021,14.27,14.4,14,14.02
19/05/2021,13.57,14.08,13.54,14.07
20/05/2021,14.3,14.68,14.27,14.61
21/05/2021,15.16,15.22,14.87,14.99
24/05/2021,15.21,15.74,15.18,15.61
25/05/2021,15.77,15.82,15.48,15.65
26/05/2021,15.73,15.79,15.59,15.7
27/05/2021,15.7,15.75,15.46,15.49
28/05/2021,15.5,16.28,15.5,16.24
01/06/2021,16.27,16.39,15.9,16.26
02/06/2021,16.25,16.92,16.24,16.78
03/06/2021,16.7,17.26,16.58,16.97
04/06/2021,17.11,17.66,17.1,17.58
07/06/2021,17.57,17.81,17.19,17.62
08/06/2021,17.53,17.62,17.25,17.46
09/06/2021,17.52,17.58,17.26,17.36
10/06/2021,17.35,17.49,17.18,17.42
11/06/2021,17.48,17.94,17.44,17.83
14/06/2021,17.91,18.04,17.66,18.02
15/06/2021,17.92,18.02,17.73,17.79
16/06/2021,17.79,17.95,17.58,17.81
17/06/2021,17.77,18.83,17.76,18.66
18/06/2021,18.78,19.38,18.58,18.64
21/06/2021,18.44,18.54,17.82,18.43
22/06/2021,18.47,18.96,18.39,18.89
23/06/2021,19.01,19.15,18.91,19.06
24/06/2021,19.23,19.42,19.09,19.21
25/06/2021,19.28,19.35,18.89,19.03
28/06/2021,19.36,20.08,19.32,19.99
29/06/2021,19.88,20.1,19.66,20.03
30/06/2021,20,20.16,19.86,20
01/07/2021,20.13,20.46,20.02,20.21
02/07/2021,20.44,20.51,20.29,20.49
06/07/2021,20.74,20.84,20.35,20.7
07/07/2021,20.85,20.88,20.33,20.37
08/07/2021,19.86,20.13,19.7,19.9
09/07/2021,19.96,20.08,19.75,20.05
12/07/2021,20.24,20.53,20.19,20.51
13/07/2021,20.4,20.46,20.11,20.25
14/07/2021,20.36,20.42,19.75,19.84
15/07/2021,19.81,19.85,18.86,18.97
16/07/2021,19.03,19.16,18.07,18.16
19/07/2021,17.92,19.04,17.87,18.78
20/07/2021,18.73,18.84,18.16,18.61
21/07/2021,18.88,19.53,18.74,19.41
22/07/2021,19.64,19.89,19.28,19.59
23/07/2021,19.66,19.7,19.25,19.56
26/07/2021,19.31,19.44,18.91,19.29
27/07/2021,19.26,19.62,18.74,19.21
28/07/2021,19.32,19.65,19,19.5
29/07/2021,19.52,19.85,19.33,19.66
30/07/2021,19.42,19.63,19.26,19.5
02/08/2021,19.7,19.96,19.36,19.75
03/08/2021,19.74,20.22,19.22,19.82
04/08/2021,19.99,20.32,19.83,20.27
05/08/2021,20.5,20.73,20.34,20.64
06/08/2021,20.52,20.57,20.21,20.37
09/08/2021,20.45,20.51,20.14,20.3
10/08/2021,20.32,20.43,19.83,19.94
11/08/2021,20.04,20.05,19.43,19.7
12/08/2021,19.87,20.03,19.62,19.91
13/08/2021,19.91,20.21,19.85,20.19
16/08/2021,20.14,20.29,19.45,19.95
17/08/2021,19.68,19.77,19.27,19.46
18/08/2021,19.5,19.63,19,19.04
19/08/2021,19.49,20.5,18.76,19.8
20/08/2021,19.99,20.86,19.93,20.82
23/08/2021,20.97,22,20.95,21.96
24/08/2021,21.75,21.96,21.53,21.79
25/08/2021,21.74,22.47,21.72,22.21
26/08/2021,22.2,22.34,21.79,22.07
